Campaign Name,Subject,Sent Date,Emails Sent,Open Rate,Unique Opens,Click Rate,CTOR,Unique clicks,Bounce Rate,Bounces,Unsubscribe Rate,Unsubscribes
Ecobee (April) - Nest,Introducing the ecobee Essential Thermostat,4/9/2025 15:17,8466,57.1,4834,3.56,6.23,301,0.24,20,0.12,10
Spring Packs (Comfort) April,Rejuvenate your space for FREE,4/8/2025 15:06,84501,57.19,48326,9.08,15.88,7676,0.07,56,0.16,135
Spring Packs (Comfort),Get Cozy at Home with Our FREE Focus on Comfort Pack!,3/12/2025 14:50,41000,18.37,7531,4.56,24.83,1870,0.07,29,0.21,88
Spring Packs (Comfort),Get Cozy at Home with Our FREE Focus on Comfort Pack!,2/27/2025 16:18,54229,25.42,13783,5.82,22.88,3154,0.06,32,0.17,93
Spring Packs (Comfort),Get Cozy at Home with Our FREE Focus on Comfort Pack!,2/25/2025 16:08,120108,57.5,69060,12.59,21.9,15124,0.24,287,0.2,237
Presidents Day - Send 3,Smart Thermostats Starting at Only $4.99!,2/20/2025 18:11,28132,26.08,7336,3.86,14.82,1087,0.12,33,0.1,28
Presidents Day - Send 2,Smart Thermostats Starting at Only $4.99!,2/20/2025 18:10,20747,26.21,5438,3.54,13.5,734,0.09,19,0.18,37
Presidents Day - Send 1,Smart Thermostats Starting at Only $4.99!,2/20/2025 18:07,5428,33.53,1820,5.73,17.09,311,0.09,5,0.06,3
Presidents Day - Send 2,Smart Thermostats Starting at Only $4.99!,2/18/2025 16:47,38884,48.76,18961,7.21,14.79,2805,0.38,148,0.2,79
Presidents Day - Send 3,Smart Thermostats Starting at Only $4.99!,2/18/2025 16:47,51820,47.72,24727,7.81,16.37,4047,0.28,143,0.14,70
Presidents Day - Send 1,Smart Thermostats Starting at Only $4.99!,2/18/2025 16:47,11868,55.87,6631,11,19.68,1305,0.4,48,0.16,19
Donâ€™t Let Your Energy Savings Float Away.,Donâ€™t Let Your Energy Savings Float Away.,2/11/2025 16:12,325454,38.51,125319,2.86,7.41,9292,0.44,1416,0.34,1120
